gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3089957505	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_768	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.75	2.653325	0.11	1.0E-6					2007-07-21T10:48:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_768	807_768		2007-07-21T10:48:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957504	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_769	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.733975	2.658162	0.11	1.0E-6					2007-07-21T11:06:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_769	807_769		2007-07-21T11:06:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957503	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_534	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.402106	3.50893	0.11	1.0E-6					2006-07-19T00:35:00	19	7	2006	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_534	807_534		2006-07-19T00:35:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957502	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_526	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	2	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.024333	3.306735	0.11	1.0E-6					2005-07-19T19:59:00	19	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_526	807_526		2005-07-19T19:59:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957501	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_532	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	2	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.010096	3.264055	0.11	1.0E-6					2005-07-19T21:59:00	19	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_532	807_532		2005-07-19T21:59:00	CC_BY_NC_4_0					2023-01-25T12:51:05.539Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957500	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_774	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.741268	2.65389	0.11	1.0E-6					2007-07-21T12:35:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_774	807_774		2007-07-21T12:35:00	CC_BY_NC_4_0					2023-01-25T12:51:05.539Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957499	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_525	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	2	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.016061	3.322581	0.11	1.0E-6					2005-07-19T19:39:00	19	7	2005	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_525	807_525		2005-07-19T19:39:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957498	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_767	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.769127	2.660393	0.11	1.0E-6					2007-07-21T10:29:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_767	807_767		2007-07-21T10:29:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957497	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_777	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.761501	2.672975	0.11	1.0E-6					2007-07-21T13:29:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_777	807_777		2007-07-21T13:29:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957496	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_776	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.762669	2.659348	0.11	1.0E-6					2007-07-21T13:11:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_776	807_776		2007-07-21T13:11:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957495	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_535	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.402616	3.504928	0.11	1.0E-6					2006-07-19T00:55:00	19	7	2006	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_535	807_535		2006-07-19T00:55:00	CC_BY_NC_4_0					2023-01-25T12:51:05.540Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957494	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_533	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	39.400953	3.510577	0.11	1.0E-6					2006-07-19T00:15:00	19	7	2006	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_533	807_533		2006-07-19T00:15:00	CC_BY_NC_4_0					2023-01-25T12:51:05.539Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957493	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_775	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.752525	2.659962	0.11	1.0E-6					2007-07-21T12:53:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_775	807_775		2007-07-21T12:53:00	CC_BY_NC_4_0					2023-01-25T12:51:05.539Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3089957492	fb390f93-aacc-48be-b2fc-8f2b1d9c72b9	807_771	Animalia	Chordata	Mammalia	Cetacea	Physeteridae	Physeter	Physeter macrocephalus		SPECIES	Physeter macrocephalus Linnaeus, 1758	Physeter macrocephalus	Linnaeus, 1758	ES			PRESENT	1	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	38.739731	2.637802	0.11	1.0E-6					2007-07-21T11:41:00	21	7	2007	8123917	8123917	HUMAN_OBSERVATION	SMRU	807	807_771	807_771		2007-07-21T11:41:00	CC_BY_NC_4_0					2023-01-25T12:51:05.539Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
